seed,steps
28341,40
13058,9
51873,24
65877,44
27612,37
94602,49
6070,39
28607,60
55156,33
67158,25
65368,36
36435,11
56010,34
19178,40
77883,15
15464,40
34987,51
10811,12
78453,41
23456,32
51130,36
11300,12
96630,38
96797,42
73522,41
9880,38
75706,15
9676,51
4548,8
37725,53
47514,44
2395,7
39090,22
13622,49
68279,41
42405,39
17368,53
82057,21
13331,5
33426,23
94747,40
70611,53
67396,10
25551,14
76175,46
32125,63
4165,24
23136,61
3654,39
64251,39
13286,32
16668,40
80948,18
14567,12
67825,25
1868,42
19587,62
2525,47
83797,32
86817,47
30483,39
47130,36
2873,51
38067,40
45339,9
3077,20
29262,24
90996,18
12758,10
79970,42
34431,37
27605,44
50826,21
38692,40
93262,6
43355,6
81702,52
56621,37
92712,51
1153,10
47370,9
10665,36
85195,32
4394,33
89710,42
35340,53
33422,33
44644,9
75564,62
12749,9
71932,25
89142,44
98111,18
44302,22
89868,23
24429,44
12699,4
74658,10
92882,37
98527,35
