function,found_goal,steps_to_goal,live_lock,seed,infrence_time
Value Iteration,True,26,False,87374,0.0016714976384089543
Neural Network,False,6,True,87374,0.001989943640572684
Value Iteration,True,12,False,79547,0.0018076697985331218
Neural Network,False,6,True,79547,0.0015039443969726562
Value Iteration,True,10,False,11802,0.0017357110977172852
Neural Network,False,6,True,11802,0.0014804771968296596
Value Iteration,True,9,False,25237,0.001636293199327257
Neural Network,False,6,True,25237,0.0014190673828125
Value Iteration,True,7,False,62873,0.0015560558864048549
Neural Network,False,6,True,62873,0.0013110637664794922
Value Iteration,True,13,False,45516,0.0017456641564002405
Neural Network,False,6,True,45516,0.0013668877737862723
Value Iteration,True,14,False,50238,0.0016326904296875
Neural Network,False,6,True,50238,0.0014216899871826172
Value Iteration,True,18,False,71721,0.0017270512051052516
Neural Network,False,6,True,71721,0.0013957364218575613
Value Iteration,True,26,False,56703,0.0016626944908728967
Neural Network,False,6,True,56703,0.0013759817395891463
Value Iteration,True,0,False,11506,
Neural Network,False,6,True,11506,0.001447643552507673
Value Iteration,True,15,False,63304,0.0017327308654785157
Neural Network,False,6,True,63304,0.0013649463653564453
Value Iteration,True,16,False,29433,0.0016490817070007324
Neural Network,False,6,True,29433,0.001348257064819336
Value Iteration,True,28,False,76986,0.001658984592982701
Neural Network,False,6,True,76986,0.0014569078172956193
Value Iteration,True,14,False,16599,0.001780595098223005
Neural Network,False,6,True,16599,0.0014143671308244979
Value Iteration,True,9,False,30667,0.001634359359741211
Neural Network,False,6,True,30667,0.0013822146824428014
Value Iteration,True,15,False,25678,0.0016582965850830077
Neural Network,False,6,True,25678,0.0014305455344063894
Value Iteration,True,13,False,12426,0.00168457398047814
Neural Network,False,6,True,12426,0.0014121191842215402
Value Iteration,True,13,False,64819,0.001624767596905048
Neural Network,False,6,True,64819,0.0013313634055001394
Value Iteration,True,27,False,50234,0.001952718805383753
Neural Network,False,6,True,50234,0.001301220485142299
Value Iteration,True,14,False,15066,0.0018319743020193918
Neural Network,False,6,True,15066,0.0013081346239362443
Value Iteration,True,18,False,71026,0.001557853486802843
Neural Network,False,6,True,71026,0.0013435568128313338
