seed,algorithm,mean_inference_time,total_steps,successful,path,stop_reason,path_vin,path_puct
11780,VI,0.023376557364392637,68,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (12, 1), (12, 2), (12, 3), (13, 3), (14, 3), (14, 4), (14, 5), (13, 5), (12, 5), (12, 6), (12, 7), (12, 8), (13, 8), (13, 9), (14, 9), (14, 8), (14, 7), (15, 7), (15, 6), (16, 6), (17, 6), (18, 6), (18, 5), (18, 4), (17, 4), (16, 4), (15, 4), (15, 3), (16, 3), (17, 3), (17, 4), (17, 5), (17, 6), (17, 7), (18, 7), (18, 8), (18, 9), (18, 10), (17, 10), (16, 10), (15, 10), (14, 10), (13, 10), (12, 10), (12, 11), (12, 12), (12, 13), (12, 14), (12, 15), (11, 15), (10, 15), (10, 16), (10, 17), (10, 18), (10, 19)]",Goal Reached,,
11780,VIN,0.007824875059581939,106,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (12, 1), (12, 2), (12, 3), (13, 3), (14, 3), (14, 4), (14, 5), (15, 5), (15, 6), (16, 6), (17, 6), (17, 7), (18, 7), (18, 6), (18, 5), (18, 4), (18, 3), (17, 3), (17, 4), (16, 4), (15, 4), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (14, 7), (14, 8), (14, 9), (13, 9), (13, 8), (13, 7), (12, 7), (12, 6), (12, 5), (13, 5), (13, 6), (13, 7), (13, 8), (13, 9), (13, 10), (14, 10), (15, 10), (16, 10), (17, 10), (18, 10), (18, 9), (18, 8), (18, 7), (17, 7), (16, 7), (16, 6), (16, 5), (17, 5), (16, 5), (15, 5), (15, 6), (14, 6), (13, 6), (13, 7), (13, 8), (12, 8), (12, 9), (12, 10), (12, 11), (12, 12), (11, 12), (11, 13), (11, 14), (11, 15), (10, 15), (10, 16), (9, 16), (8, 16), (7, 16), (7, 17), (7, 18), (7, 19), (6, 19), (6, 18), (5, 18), (5, 17), (5, 16), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (10, 16), (10, 17), (10, 18), (10, 19)]",
11780,PUCT,1.0716403310544023,108,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (13, 1), (13, 2), (13, 3), (14, 3), (14, 4), (14, 5), (15, 5), (15, 6), (16, 6), (17, 6), (17, 7), (18, 7), (18, 6), (18, 5), (18, 4), (18, 3), (17, 3), (17, 4), (16, 4), (15, 4), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (14, 7), (14, 8), (14, 9), (13, 9), (13, 8), (13, 7), (12, 7), (12, 6), (12, 5), (13, 5), (13, 6), (13, 7), (13, 8), (13, 9), (13, 10), (14, 10), (15, 10), (16, 10), (17, 10), (18, 10), (18, 9), (18, 8), (18, 7), (17, 7), (16, 7), (16, 6), (16, 5), (17, 5), (16, 5), (15, 5), (14, 5), (13, 5), (13, 4), (12, 4), (12, 5), (12, 6), (12, 7), (12, 8), (12, 9), (12, 10), (12, 11), (12, 12), (11, 12), (11, 13), (11, 14), (11, 15), (10, 15), (10, 16), (9, 16), (8, 16), (7, 16), (7, 17), (7, 18), (7, 19), (6, 19), (6, 18), (5, 18), (5, 17), (5, 16), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (10, 16), (10, 17), (10, 18), (10, 19)]"
16652,VI,0.022879138137354996,34,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (4, 5), (5, 5), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (6, 11), (6, 10), (6, 9), (6, 8), (6, 7), (7, 7), (8, 7), (8, 6), (8, 5), (7, 5), (7, 6), (6, 6), (5, 6), (4, 6), (4, 7), (4, 8), (4, 9)]",Goal Reached,,
16652,VIN,0.007986102785382952,22,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (5, 5), (5, 6), (6, 6), (6, 7), (6, 8), (6, 9), (5, 9), (5, 10), (5, 11), (4, 11), (4, 10), (4, 9)]",
16652,PUCT,1.1065930411929177,22,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (5, 5), (5, 6), (6, 6), (6, 7), (6, 8), (6, 9), (5, 9), (5, 10), (5, 11), (4, 11), (4, 10), (4, 9)]"
15104,VI,0.02734329965379503,28,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5), (17, 6), (17, 7), (17, 8), (17, 9), (18, 9)]",Goal Reached,,
15104,VIN,0.008865594863891602,5,False,,collision,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3)]",
15104,PUCT,1.0316147661209107,201,False,,Max Steps Reached,,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3), (1, 2), (1, 3)]"
7112,VI,0.019647836685180664,9,True,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7)]",Goal Reached,,
