seed,algorithm,mean_inference_time,total_steps,successful,path,stop_reason,path_vin,path_puct
17367,VI,0.020377264136359804,84,False,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (5, 7), (6, 7), (6, 8), (6, 9), (7, 9), (8, 9), (8, 10), (8, 9), (7, 9), (7, 8), (7, 7), (6, 7), (5, 7), (4, 7), (3, 7), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (3, 11), (3, 12), (3, 13), (3, 14), (3, 15), (3, 16), (3, 17), (4, 17), (4, 18), (5, 18), (6, 18), (6, 19), (6, 18), (6, 17), (5, 17), (5, 18), (5, 19), (4, 19), (3, 19), (4, 19), (5, 19), (6, 19), (7, 19), (8, 19), (9, 19), (10, 19), (11, 19), (10, 19), (9, 19), (8, 19), (7, 19), (7, 18), (7, 17), (7, 18), (6, 18), (5, 18), (4, 18), (3, 18), (4, 18), (4, 17), (4, 16), (4, 15), (4, 14), (4, 13), (4, 12), (4, 11), (3, 11), (2, 11), (2, 10), (2, 9), (2, 8), (2, 7)]",Live Lock Detected,,
17367,VIN,0.009690272180657638,20,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5), (6, 6), (6, 7), (7, 7), (7, 8), (7, 9), (8, 9), (8, 10), (8, 11)]",
17367,PUCT,0.4850966553939016,20,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5), (6, 6), (6, 7), (7, 7), (7, 8), (7, 9), (8, 9), (8, 10), (8, 11)]"
12158,VI,0.021933434714733715,71,False,"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (4, 9), (5, 9), (5, 10), (5, 11), (5, 12), (6, 12), (7, 12), (8, 12), (8, 13), (8, 14), (9, 14), (8, 14), (7, 14), (7, 15), (7, 16), (7, 15), (7, 14), (6, 14), (5, 14), (5, 13), (6, 13), (7, 13), (8, 13), (9, 13), (9, 14), (9, 15), (9, 16), (9, 17), (9, 18), (10, 18), (10, 19), (10, 18), (9, 18), (9, 17), (8, 17), (8, 16), (8, 15), (7, 15), (7, 14), (6, 14), (5, 14), (4, 14), (4, 15), (4, 16), (4, 17), (5, 17), (5, 18), (6, 18), (6, 19), (5, 19), (4, 19), (4, 18), (4, 17), (4, 16), (4, 15), (4, 14), (5, 14), (6, 14)]",Live Lock Detected,,
12158,VIN,0.007386241640363421,49,False,,collision,"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (3, 11), (3, 12), (4, 12), (5, 12), (6, 12), (7, 12), (8, 12), (8, 13), (8, 14), (9, 14), (9, 15), (9, 16), (8, 16), (7, 16), (7, 15), (7, 14), (6, 14), (5, 14), (6, 14), (6, 13), (7, 13), (8, 13), (9, 13), (9, 14), (9, 15), (10, 15), (10, 16), (10, 17), (10, 18), (10, 19), (10, 18), (9, 18), (9, 17), (8, 17), (7, 17)]",
12158,PUCT,0.4784401092889174,53,False,,Live Lock Detected in PUCT,,"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (3, 11), (3, 12), (4, 12), (5, 12), (6, 12), (7, 12), (8, 12), (8, 13), (8, 14), (9, 14), (9, 15), (9, 16), (8, 16), (7, 16), (7, 15), (7, 14), (6, 14), (5, 14), (6, 14), (6, 13), (7, 13), (8, 13), (9, 13), (9, 14), (9, 15), (10, 15), (10, 16), (10, 17), (10, 18), (10, 19), (10, 18), (9, 18), (9, 17), (8, 17), (7, 17), (8, 17), (7, 17), (8, 17), (7, 17)]"
12078,VI,0.026201392042225803,59,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (8, 6), (8, 7), (8, 8), (8, 9), (8, 10), (8, 11), (9, 11), (10, 11), (11, 11), (12, 11), (13, 11), (14, 11), (15, 11), (16, 11), (17, 11), (17, 12), (17, 13), (17, 14), (18, 14), (19, 14), (19, 13), (18, 13), (18, 12), (18, 11), (18, 10), (17, 10), (16, 10), (15, 10), (15, 11), (15, 12), (15, 13), (15, 14), (14, 14), (13, 14), (12, 14), (11, 14), (11, 13), (11, 12), (10, 12), (9, 12), (8, 12), (8, 13), (8, 14), (8, 13), (9, 13)]",Goal Reached,,
12078,VIN,0.007363299528757731,61,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (8, 6), (8, 7), (8, 8), (8, 9), (8, 10), (8, 11), (9, 11), (10, 11), (11, 11), (12, 11), (13, 11), (14, 11), (15, 11), (16, 11), (17, 11), (17, 12), (17, 13), (17, 14), (18, 14), (19, 14), (19, 13), (18, 13), (18, 12), (18, 11), (18, 10), (17, 10), (16, 10), (16, 11), (16, 12), (16, 13), (15, 13), (15, 14), (14, 14), (14, 13), (14, 12), (14, 11), (14, 10), (13, 10), (12, 10), (12, 11), (12, 12), (11, 12), (11, 13), (11, 14), (10, 14), (10, 13), (9, 13)]",
12078,PUCT,0.48883076111475626,61,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (8, 6), (8, 7), (8, 8), (8, 9), (8, 10), (8, 11), (9, 11), (10, 11), (11, 11), (12, 11), (13, 11), (14, 11), (15, 11), (16, 11), (17, 11), (17, 12), (17, 13), (17, 14), (18, 14), (19, 14), (19, 13), (18, 13), (18, 12), (18, 11), (18, 10), (17, 10), (16, 10), (16, 11), (16, 12), (16, 13), (15, 13), (15, 14), (14, 14), (14, 13), (14, 12), (14, 11), (14, 10), (13, 10), (12, 10), (12, 11), (12, 12), (11, 12), (11, 13), (11, 14), (10, 14), (10, 13), (9, 13)]"
18754,VI,0.021154794692993164,26,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (9, 8), (10, 8), (11, 8), (12, 8), (12, 9), (12, 10), (12, 11), (12, 12), (11, 12)]",Goal Reached,,
18754,VIN,0.0073749923706054685,26,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (12, 9), (12, 10), (12, 11), (12, 12), (11, 12)]",
18754,PUCT,0.48357311248779294,26,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (12, 9), (12, 10), (12, 11), (12, 12), (11, 12)]"
16994,VI,0.020122897624969483,21,True,"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (3, 3), (4, 3), (4, 4), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (8, 6), (8, 7), (7, 7), (7, 8), (7, 9), (6, 9), (6, 8)]",Goal Reached,,
16994,VIN,0.007399926582972209,25,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (3, 3), (4, 3), (4, 4), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (9, 6), (9, 7), (8, 7), (8, 8), (8, 9), (7, 9), (7, 8), (7, 7), (6, 7), (6, 8)]",
16994,PUCT,0.4797455469767253,25,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (3, 3), (4, 3), (4, 4), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (9, 6), (9, 7), (8, 7), (8, 8), (8, 9), (7, 9), (7, 8), (7, 7), (6, 7), (6, 8)]"
7077,VI,0.023925304412841797,32,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (8, 4), (8, 5), (9, 5), (9, 6), (9, 7), (9, 8), (9, 9), (10, 9), (11, 9), (12, 9), (13, 9), (14, 9), (15, 9), (16, 9), (16, 8), (16, 7), (16, 6), (16, 5), (16, 4), (17, 4)]",Goal Reached,,
7077,VIN,0.007482218187908793,44,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (7, 1), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (9, 5), (9, 6), (9, 7), (9, 8), (9, 9), (9, 8), (9, 7), (8, 7), (8, 6), (8, 5), (7, 5), (7, 4), (7, 3), (7, 2), (7, 1), (6, 1), (6, 2), (7, 2), (8, 2), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3), (12, 4), (13, 4), (14, 4), (15, 4), (16, 4), (17, 4)]",
7077,PUCT,0.47590106587077297,44,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (7, 1), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (9, 5), (9, 6), (9, 7), (9, 8), (9, 9), (9, 8), (9, 7), (8, 7), (8, 6), (8, 5), (7, 5), (7, 4), (7, 3), (7, 2), (7, 1), (6, 1), (7, 1), (8, 1), (8, 2), (9, 2), (9, 3), (10, 3), (11, 3), (12, 3), (12, 4), (13, 4), (14, 4), (15, 4), (16, 4), (17, 4)]"
14495,VI,0.02190197889621441,53,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (12, 9), (12, 10), (12, 11), (12, 12), (13, 12), (14, 12), (15, 12), (15, 13), (15, 14), (14, 14), (13, 14), (12, 14), (12, 15), (12, 16), (12, 17), (12, 18), (13, 18), (14, 18), (14, 19), (15, 19), (16, 19), (17, 19), (18, 19), (19, 19), (19, 18), (19, 17), (19, 16), (19, 15), (18, 15), (17, 15), (17, 14), (16, 14)]",Goal Reached,,
14495,VIN,0.007417623202006022,31,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (12, 9), (12, 10), (12, 11), (12, 12), (13, 12), (14, 12), (15, 12), (15, 13), (15, 14), (16, 14)]",
14495,PUCT,0.48467588424682617,31,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (12, 9), (12, 10), (12, 11), (12, 12), (13, 12), (14, 12), (15, 12), (15, 13), (15, 14), (16, 14)]"
14265,VI,0.024298707644144695,19,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (5, 9), (6, 9), (7, 9), (7, 10), (7, 11)]",Goal Reached,,
14265,VIN,0.007581490736741286,27,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (9, 8), (9, 9), (9, 10), (9, 11), (8, 11), (8, 10), (8, 9), (7, 9), (7, 10), (7, 11)]",
14265,PUCT,0.49511900314917934,27,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (9, 8), (9, 9), (9, 10), (9, 11), (8, 11), (8, 10), (8, 9), (7, 9), (7, 10), (7, 11)]"
12765,VI,0.02349432877131871,57,True,"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (2, 12), (2, 13), (2, 14), (2, 15), (2, 16), (1, 16), (1, 15), (0, 15), (0, 16), (1, 16), (1, 17), (2, 17), (3, 17), (3, 16), (3, 15), (3, 14), (3, 13), (3, 12), (3, 11), (3, 10), (4, 10), (4, 9), (4, 10), (4, 11), (5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (10, 11), (11, 11), (11, 12), (12, 12), (12, 13), (12, 14), (13, 14), (13, 13), (14, 13), (15, 13), (16, 13), (17, 13), (18, 13), (19, 13)]",Goal Reached,,
12765,VIN,0.007417798042297363,61,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (2, 12), (2, 13), (2, 14), (2, 15), (2, 16), (1, 16), (1, 15), (1, 16), (1, 17), (1, 16), (0, 16), (0, 15), (1, 15), (2, 15), (3, 15), (3, 14), (3, 13), (3, 12), (3, 11), (3, 10), (4, 10), (4, 9), (5, 9), (6, 9), (7, 9), (7, 10), (7, 11), (8, 11), (9, 11), (10, 11), (11, 11), (11, 12), (12, 12), (12, 13), (13, 13), (13, 14), (12, 14), (11, 14), (11, 13), (12, 13), (13, 13), (14, 13), (15, 13), (16, 13), (17, 13), (18, 13), (19, 13)]",
12765,PUCT,0.4828815460205078,61,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (2, 12), (2, 13), (2, 14), (2, 15), (2, 16), (1, 16), (1, 15), (1, 16), (1, 17), (1, 16), (0, 16), (0, 15), (1, 15), (2, 15), (3, 15), (3, 14), (3, 13), (3, 12), (3, 11), (3, 10), (4, 10), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (9, 10), (9, 11), (10, 11), (11, 11), (11, 12), (12, 12), (12, 13), (13, 13), (13, 14), (12, 14), (11, 14), (11, 13), (12, 13), (13, 13), (14, 13), (15, 13), (16, 13), (17, 13), (18, 13), (19, 13)]"
15257,VI,0.015568017959594727,24,True,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (2, 9), (3, 9), (4, 9), (4, 8), (5, 8), (5, 9), (5, 10), (6, 10), (7, 10), (8, 10), (8, 11), (9, 11), (10, 11)]",Goal Reached,,
15257,VIN,0.007418770260281033,46,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8), (4, 8), (4, 9), (5, 9), (5, 8), (6, 8), (6, 7), (7, 7), (7, 8), (7, 9), (7, 10), (6, 10), (5, 10), (4, 10), (4, 11), (3, 11), (2, 11), (1, 11), (1, 10), (1, 9), (2, 9), (3, 9), (3, 8), (4, 8), (4, 7), (5, 7), (5, 8), (5, 9), (5, 10), (6, 10), (7, 10), (7, 11), (8, 11), (9, 11), (10, 11)]",
15257,PUCT,0.48212936719258626,46,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8), (4, 8), (4, 9), (5, 9), (5, 8), (6, 8), (6, 7), (7, 7), (7, 8), (7, 9), (7, 10), (6, 10), (5, 10), (4, 10), (4, 11), (3, 11), (2, 11), (1, 11), (1, 10), (1, 9), (2, 9), (3, 9), (3, 8), (4, 8), (4, 7), (5, 7), (6, 7), (6, 8), (6, 9), (6, 10), (7, 10), (7, 11), (8, 11), (9, 11), (10, 11)]"
16885,VI,0.022199511528015137,15,True,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9)]",Goal Reached,,
16885,VIN,0.007565532411847796,15,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9)]",
16885,PUCT,0.5159058400562831,15,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9)]"
7068,VI,0.024359703063964844,12,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (5, 1), (5, 2), (6, 2), (7, 2), (7, 3), (7, 4)]",Goal Reached,,
7068,VIN,0.007691816850142045,12,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (5, 1), (5, 2), (6, 2), (7, 2), (7, 3), (7, 4)]",
7068,PUCT,0.48325946114280005,12,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (5, 1), (5, 2), (6, 2), (7, 2), (7, 3), (7, 4)]"
18974,VI,0.021169757843017577,46,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (4, 1), (4, 2), (5, 2), (5, 3), (5, 4), (6, 4), (6, 5), (7, 5), (7, 4), (6, 4), (5, 4), (4, 4), (4, 5), (3, 5), (3, 4), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (7, 4), (7, 5), (8, 5), (9, 5), (10, 5), (10, 6), (10, 7), (10, 8), (10, 9), (10, 10), (10, 11), (11, 11), (11, 12), (11, 13), (10, 13), (10, 14), (9, 14), (8, 14), (7, 14), (7, 15), (7, 16)]",Goal Reached,,
18974,VIN,0.007506709703257386,71,False,,Live Lock Detected,"[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (4, 1), (4, 2), (5, 2), (5, 3), (5, 4), (5, 5), (6, 5), (7, 5), (7, 4), (7, 3), (6, 3), (5, 3), (4, 3), (4, 4), (4, 5), (3, 5), (3, 4), (3, 3), (4, 3), (5, 3), (6, 3), (6, 4), (7, 4), (7, 5), (8, 5), (9, 5), (10, 5), (10, 6), (10, 7), (10, 8), (10, 9), (10, 10), (10, 11), (11, 11), (11, 12), (11, 13), (10, 13), (10, 14), (10, 13), (11, 13), (11, 12), (12, 12), (13, 12), (14, 12), (14, 11), (13, 11), (14, 11), (15, 11), (15, 12), (15, 13), (15, 14), (15, 15), (15, 16), (15, 17), (15, 18), (15, 19), (14, 19), (13, 19), (12, 19), (11, 19), (11, 18), (10, 18), (9, 18), (8, 18), (7, 18), (7, 17)]",
