seed,algorithm,mean_inference_time,total_steps,successful,path,stop_reason,path_vin,path_puct
13061,VI,0.02101057226007635,23,True,"[(0, 0), (1, 0), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (10, 2), (10, 3), (10, 4), (10, 5), (10, 6), (10, 7), (9, 7), (9, 8), (9, 9), (9, 10), (9, 11)]",Goal Reached,,
13061,VIN,0.008790265430103649,23,True,,Goal Reached,"[(0, 0), (1, 0), (1, 1), (2, 1), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 6), (3, 6), (4, 6), (4, 7), (4, 8), (4, 9), (5, 9), (6, 9), (7, 9), (7, 10), (8, 10), (9, 10), (9, 11)]",
13061,PUCT,1.321783098307523,23,True,,Goal Reached,,"[(0, 0), (1, 0), (1, 1), (2, 1), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 6), (3, 6), (4, 6), (4, 7), (4, 8), (4, 9), (5, 9), (6, 9), (7, 9), (7, 10), (8, 10), (9, 10), (9, 11)]"
11921,VI,0.022513866424560547,18,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5), (6, 6), (6, 7), (6, 8), (6, 9), (7, 9), (8, 9)]",Goal Reached,,
11921,VIN,0.007113989661721622,18,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5), (6, 6), (6, 7), (6, 8), (6, 9), (7, 9), (8, 9)]",
11921,PUCT,1.3535617379581226,18,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5), (6, 6), (6, 7), (6, 8), (6, 9), (7, 9), (8, 9)]"
9633,VI,0.02174672626313709,43,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (12, 1), (12, 2), (13, 2), (13, 3), (14, 3), (15, 3), (16, 3), (17, 3), (18, 3), (19, 3), (18, 3), (17, 3), (16, 3), (15, 3), (14, 3), (13, 3), (12, 3), (11, 3), (11, 4), (11, 5), (11, 6), (11, 7), (12, 7), (13, 7), (14, 7), (14, 8), (14, 9), (14, 10), (14, 11), (15, 11)]",Goal Reached,,
9633,VIN,0.0073046400433494935,43,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (12, 1), (12, 2), (13, 2), (13, 3), (14, 3), (15, 3), (16, 3), (17, 3), (18, 3), (19, 3), (18, 3), (17, 3), (16, 3), (15, 3), (14, 3), (13, 3), (12, 3), (11, 3), (11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (12, 8), (13, 8), (13, 9), (13, 10), (14, 10), (14, 11), (15, 11)]",
9633,PUCT,1.3501560574486142,43,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (12, 1), (12, 2), (13, 2), (13, 3), (14, 3), (15, 3), (16, 3), (17, 3), (18, 3), (19, 3), (18, 3), (17, 3), (16, 3), (15, 3), (14, 3), (13, 3), (12, 3), (11, 3), (11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (12, 8), (13, 8), (13, 9), (13, 10), (14, 10), (14, 11), (15, 11)]"
18505,VI,0.02424072159661187,46,True,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (2, 7), (2, 8), (3, 8), (3, 7), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (9, 6), (9, 5), (9, 4), (10, 4), (11, 4), (11, 3), (11, 2), (10, 2), (10, 3), (11, 3), (12, 3), (13, 3), (14, 3), (15, 3), (16, 3), (16, 4), (16, 5), (16, 6), (16, 7), (16, 8), (16, 9), (16, 10), (16, 11), (16, 12), (16, 13), (17, 13), (17, 14)]",Goal Reached,,
18505,VIN,0.007122798399491744,56,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8), (3, 7), (3, 6), (2, 6), (1, 6), (1, 7), (1, 8), (2, 8), (3, 8), (4, 8), (5, 8), (6, 8), (7, 8), (8, 8), (8, 7), (8, 6), (8, 5), (9, 5), (9, 4), (10, 4), (11, 4), (11, 3), (11, 2), (10, 2), (10, 3), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (9, 8), (9, 9), (10, 9), (11, 9), (12, 9), (12, 10), (12, 11), (13, 11), (14, 11), (14, 12), (15, 12), (16, 12), (16, 13), (17, 13), (17, 14)]",
18505,PUCT,1.2974610805511475,56,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8), (3, 7), (3, 6), (2, 6), (1, 6), (1, 7), (1, 8), (2, 8), (3, 8), (4, 8), (5, 8), (6, 8), (7, 8), (8, 8), (8, 7), (8, 6), (9, 6), (9, 5), (9, 4), (10, 4), (11, 4), (11, 3), (11, 2), (10, 2), (10, 3), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (9, 8), (9, 9), (10, 9), (11, 9), (12, 9), (12, 10), (12, 11), (13, 11), (14, 11), (14, 12), (15, 12), (16, 12), (16, 13), (17, 13), (17, 14)]"
17655,VI,0.022431124340404163,23,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (11, 1), (11, 2), (11, 3), (12, 3), (13, 3), (13, 4), (12, 4), (12, 5), (12, 6), (11, 6), (10, 6)]",Goal Reached,,
17655,VIN,0.007083643566478382,23,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (11, 1), (11, 2), (11, 3), (12, 3), (13, 3), (13, 4), (12, 4), (12, 5), (12, 6), (11, 6), (10, 6)]",
17655,PUCT,1.3659731366417625,23,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (11, 1), (11, 2), (11, 3), (12, 3), (13, 3), (13, 4), (12, 4), (12, 5), (12, 6), (11, 6), (10, 6)]"
15406,VI,0.02106963504444469,45,True,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 6), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (3, 11), (3, 12), (3, 13), (2, 13), (1, 13), (2, 13), (3, 13), (3, 14), (3, 15), (3, 16), (3, 17), (4, 17), (5, 17), (6, 17), (7, 17), (8, 17), (8, 16), (9, 16), (9, 15), (10, 15), (10, 14), (10, 13), (10, 12), (11, 12), (11, 13), (12, 13), (13, 13), (13, 12), (13, 13), (13, 14), (12, 14)]",Goal Reached,,
15406,VIN,0.007199551748192828,47,True,,Goal Reached,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 6), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (3, 11), (3, 12), (3, 13), (2, 13), (1, 13), (0, 13), (1, 13), (1, 12), (2, 12), (3, 12), (3, 13), (3, 14), (3, 15), (3, 16), (3, 17), (4, 17), (5, 17), (6, 17), (7, 17), (8, 17), (8, 16), (9, 16), (10, 16), (10, 15), (10, 14), (10, 13), (10, 12), (11, 12), (11, 13), (12, 13), (13, 13), (13, 14), (12, 14)]",
15406,PUCT,1.3270173694776453,47,True,,Goal Reached,,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 6), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (3, 11), (3, 12), (3, 13), (2, 13), (1, 13), (0, 13), (1, 13), (1, 12), (2, 12), (3, 12), (3, 13), (3, 14), (3, 15), (3, 16), (3, 17), (4, 17), (5, 17), (6, 17), (7, 17), (8, 17), (8, 16), (9, 16), (10, 16), (10, 15), (10, 14), (10, 13), (10, 12), (11, 12), (11, 13), (12, 13), (13, 13), (13, 14), (12, 14)]"
17691,VI,0.024295923037406724,40,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (7, 11), (7, 12), (7, 13), (7, 14), (8, 14), (8, 13), (9, 13), (9, 12), (9, 11), (9, 10), (10, 10), (11, 10), (12, 10), (13, 10), (14, 10), (15, 10), (15, 9), (16, 9), (16, 8), (17, 8), (17, 7), (18, 7)]",Goal Reached,,
17691,VIN,0.007173718238363461,50,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (9, 8), (9, 9), (9, 10), (9, 11), (9, 12), (9, 13), (9, 14), (8, 14), (8, 13), (8, 12), (7, 12), (7, 13), (7, 14), (7, 15), (8, 15), (9, 15), (10, 15), (10, 14), (11, 14), (11, 13), (11, 12), (11, 11), (11, 10), (12, 10), (13, 10), (14, 10), (14, 9), (15, 9), (16, 9), (16, 8), (17, 8), (18, 8), (18, 7)]",
17691,PUCT,1.3060892893343556,50,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (9, 8), (9, 9), (9, 10), (9, 11), (9, 12), (9, 13), (9, 14), (8, 14), (8, 13), (8, 12), (7, 12), (7, 13), (7, 14), (7, 15), (8, 15), (9, 15), (10, 15), (10, 14), (11, 14), (11, 13), (11, 12), (11, 11), (11, 10), (12, 10), (13, 10), (14, 10), (14, 9), (15, 9), (16, 9), (16, 8), (17, 8), (18, 8), (18, 7)]"
18841,VI,0.02082069218158722,17,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (5, 5), (5, 6), (6, 6), (6, 7), (6, 8), (6, 9), (7, 9)]",Goal Reached,,
18841,VIN,0.006994500756263733,17,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (5, 5), (5, 6), (6, 6), (6, 7), (6, 8), (6, 9), (7, 9)]",
18841,PUCT,1.3938351720571518,17,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (5, 5), (5, 6), (6, 6), (6, 7), (6, 8), (6, 9), (7, 9)]"
