seed,algorithm,mean_inference_time,total_steps,successful,path,stop_reason,path_vin,path_replan
16515,VI,0.024714051903068246,78,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (14, 2), (13, 2), (13, 3), (13, 4), (13, 5), (14, 5), (15, 5), (16, 5), (16, 6), (17, 6), (18, 6), (18, 7), (17, 7), (17, 6), (17, 5), (17, 4), (17, 3), (16, 3), (17, 3), (18, 3), (19, 3), (19, 4), (19, 5), (19, 6), (19, 7), (18, 7), (17, 7), (16, 7), (15, 7), (15, 6), (14, 6), (13, 6), (12, 6), (12, 5), (11, 5), (10, 5), (10, 6), (10, 5), (10, 4), (10, 3), (11, 3), (12, 3), (12, 2), (12, 1), (12, 0), (13, 0), (14, 0), (15, 0), (15, 1), (16, 1), (16, 2), (15, 2), (15, 3), (15, 4), (16, 4), (17, 4), (18, 4), (18, 5), (18, 4), (18, 3), (18, 2), (18, 1)]",Goal Reached,,
16515,VIN,0.007771226406097412,501,False,,Max Steps Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (10, 1), (11, 1), (11, 2), (12, 2), (13, 2), (13, 1), (14, 1), (14, 2), (14, 3), (15, 3), (15, 4), (15, 5), (16, 5), (16, 6), (17, 6), (18, 6), (18, 5), (18, 4), (18, 3), (17, 3), (16, 3), (16, 2), (15, 2), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (14, 5), (13, 5), (12, 5), (11, 5), (11, 4), (10, 4), (10, 5), (10, 6), (11, 6), (12, 6), (12, 5), (12, 4), (13, 4), (12, 4), (12, 3), (11, 3), (11, 2), (12, 2), (12, 1), (12, 0), (13, 0), (14, 0), (15, 0), (16, 0), (16, 1), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5), (17, 6), (17, 7), (18, 7), (19, 7), (19, 6), (19, 5), (19, 4), (19, 3), (18, 3), (17, 3), (17, 4), (16, 4), (16, 5), (16, 6), (16, 7), (15, 7), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (15, 13), (15, 14), (15, 15), (15, 16), (16, 16), (16, 17), (16, 18), (15, 18), (15, 19), (14, 19), (14, 18), (13, 18), (12, 18), (11, 18), (11, 19), (12, 19), (12, 18), (12, 17), (13, 17), (14, 17), (15, 17), (14, 17), (14, 16), (13, 16), (12, 16), (11, 16), (11, 17), (12, 17), (13, 17), (14, 17), (15, 17), (16, 17), (17, 17), (17, 18), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19)]",
16515,VIN_REPLAN,0.00801851030833231,501,False,,No Path Found,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (10, 1), (11, 1), (11, 2), (12, 2), (13, 2), (13, 1), (14, 1), (14, 2), (14, 3), (15, 3), (15, 4), (15, 5), (16, 5), (16, 6), (17, 6), (18, 6), (18, 5), (18, 4), (18, 3), (17, 3), (16, 3), (16, 2), (15, 2), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (14, 5), (13, 5), (12, 5), (11, 5), (11, 4), (10, 4), (10, 5), (10, 6), (11, 6), (12, 6), (12, 5), (12, 4), (13, 4), (12, 4), (12, 3), (11, 3), (11, 2), (12, 2), (12, 1), (12, 0), (13, 0), (14, 0), (15, 0), (16, 0), (16, 1), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5), (17, 6), (17, 7), (18, 7), (19, 7), (19, 6), (19, 5), (19, 4), (19, 3), (18, 3), (17, 3), (17, 4), (16, 4), (16, 5), (16, 6), (16, 7), (15, 7), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (15, 13), (15, 14), (15, 15), (15, 16), (16, 16), (16, 17), (16, 18), (15, 18), (15, 19), (14, 19), (14, 18), (13, 18), (12, 18), (11, 18), (11, 19), (12, 19), (12, 18), (12, 17), (13, 17), (14, 17), (15, 17), (14, 17), (14, 16), (13, 16), (12, 16), (11, 16), (11, 17), (12, 17), (13, 17), (14, 17), (15, 17), (16, 17), (17, 17), (17, 18), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19), (16, 19), (17, 19)]"
16002,VI,0.029236441073210342,24,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (4, 2), (5, 2), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3), (13, 3), (14, 3), (14, 4), (14, 5), (14, 6), (14, 7), (14, 8), (15, 8)]",Goal Reached,,
16002,VIN,0.0075472230496613875,24,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (5, 2), (5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (8, 5), (8, 6), (8, 7), (9, 7), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8)]",
16002,VIN_REPLAN,0.0073880453904469805,24,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (5, 2), (5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (8, 5), (8, 6), (8, 7), (9, 7), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8)]"
11587,VI,0.026578174697028265,55,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (16, 5), (16, 6), (17, 6), (17, 5), (18, 5), (18, 6), (18, 7), (19, 7), (19, 8), (19, 9), (19, 10), (18, 10), (17, 10), (16, 10), (15, 10), (15, 11), (16, 11), (17, 11), (17, 10), (17, 9), (17, 8), (17, 7), (16, 7), (15, 7), (15, 8), (16, 8), (16, 7), (16, 6), (16, 5), (16, 4), (17, 4), (18, 4), (19, 4), (19, 5)]",Goal Reached,,
11587,VIN,0.007575233777364095,49,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0), (16, 0), (16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (16, 6), (17, 6), (17, 5), (18, 5), (18, 6), (18, 7), (19, 7), (19, 8), (19, 9), (19, 10), (18, 10), (17, 10), (17, 11), (16, 11), (15, 11), (15, 10), (15, 9), (15, 8), (15, 7), (16, 7), (17, 7), (17, 6), (17, 5), (17, 4), (18, 4), (19, 4), (19, 5)]",
11587,VIN_REPLAN,0.007484854484091,49,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0), (16, 0), (16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (16, 6), (17, 6), (17, 5), (18, 5), (18, 6), (18, 7), (19, 7), (19, 8), (19, 9), (19, 10), (18, 10), (17, 10), (17, 11), (16, 11), (15, 11), (15, 10), (15, 9), (15, 8), (15, 7), (16, 7), (17, 7), (17, 6), (17, 5), (17, 4), (18, 4), (19, 4), (19, 5)]"
17251,VI,0.024087497166224887,8,True,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (3, 4)]",Goal Reached,,
