seed,algorithm,mean_inference_time,total_steps,successful,path,stop_reason,path_vin,path_puct
19983,VI,0.025615921387305625,53,True,"[(0, 0), (0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (11, 2), (11, 3), (12, 3), (12, 4), (12, 5), (12, 6), (12, 7), (12, 8), (13, 8), (13, 9), (14, 9), (15, 9), (16, 9), (17, 9), (17, 8), (18, 8), (18, 9), (18, 10), (19, 10), (19, 11), (19, 12), (19, 13), (19, 14), (18, 14), (17, 14), (16, 14), (16, 15), (16, 16), (16, 17), (16, 18), (15, 18), (15, 19), (16, 19), (17, 19), (17, 18), (18, 18), (18, 17), (18, 16), (18, 15), (19, 15)]",Goal Reached,,
19983,VIN,0.008206982361642938,39,True,,Goal Reached,"[(0, 0), (0, 1), (1, 1), (2, 1), (2, 2), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (6, 4), (7, 4), (7, 5), (7, 6), (8, 6), (8, 7), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (12, 9), (13, 9), (14, 9), (14, 10), (15, 10), (16, 10), (16, 9), (17, 9), (17, 8), (18, 8), (18, 9), (18, 10), (19, 10), (19, 11), (19, 12), (19, 13), (19, 14), (19, 15)]",
19983,PUCT,0.42554881698206853,39,True,,Goal Reached,,"[(0, 0), (0, 1), (1, 1), (2, 1), (2, 2), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (6, 4), (7, 4), (7, 5), (7, 6), (8, 6), (8, 7), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (12, 9), (13, 9), (14, 9), (14, 10), (15, 10), (16, 10), (16, 9), (17, 9), (17, 8), (18, 8), (18, 9), (18, 10), (19, 10), (19, 11), (19, 12), (19, 13), (19, 14), (19, 15)]"
12390,VI,0.019721907538336678,38,True,"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (2, 12), (3, 12), (3, 13), (4, 13), (5, 13), (6, 13), (7, 13), (8, 13), (9, 13), (9, 12), (10, 12), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11), (4, 11), (4, 10), (3, 10), (2, 10), (1, 10), (0, 10), (0, 11)]",Goal Reached,,
12390,VIN,0.007237732410430908,148,False,,Live Lock Detected,"[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (4, 8), (4, 9), (4, 10), (3, 10), (3, 11), (3, 12), (3, 13), (4, 13), (5, 13), (5, 12), (6, 12), (6, 11), (7, 11), (8, 11), (8, 12), (8, 13), (9, 13), (9, 12), (10, 12), (10, 11), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (7, 10), (7, 11), (7, 12), (7, 13), (7, 14), (8, 14), (9, 14), (10, 14), (11, 14), (11, 13), (11, 12), (11, 11), (10, 11), (10, 12), (10, 13), (10, 14), (10, 15), (9, 15), (9, 16), (9, 17), (8, 17), (8, 18), (8, 19), (7, 19), (6, 19), (5, 19), (6, 19), (6, 18), (7, 18), (8, 18), (8, 17), (8, 16), (8, 15), (7, 15), (6, 15), (6, 14), (5, 14), (4, 14), (4, 13), (4, 12), (4, 11), (3, 11), (2, 11), (2, 10), (2, 11), (2, 12), (2, 13), (1, 13), (1, 12), (1, 11), (1, 10), (2, 10), (2, 9), (2, 8), (1, 8), (0, 8), (1, 8), (2, 8), (2, 9), (3, 9), (4, 9), (4, 10), (4, 11), (5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (9, 10), (10, 10), (11, 10), (11, 9), (12, 9), (13, 9), (14, 9), (15, 9), (15, 8), (15, 7), (15, 6), (15, 5), (15, 4), (15, 3), (15, 2), (15, 1), (16, 1), (17, 1), (18, 1), (18, 2), (18, 3), (18, 4), (18, 5), (17, 5), (16, 5), (15, 5), (14, 5), (14, 4), (14, 3), (14, 2), (14, 1), (13, 1), (14, 1), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (16, 5), (15, 5), (16, 5), (15, 5), (16, 5)]",
12390,PUCT,0.44274170273228697,96,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (4, 8), (4, 9), (4, 10), (3, 10), (3, 11), (3, 12), (3, 13), (4, 13), (5, 13), (5, 12), (6, 12), (6, 11), (7, 11), (8, 11), (8, 12), (8, 13), (9, 13), (9, 12), (10, 12), (10, 11), (11, 11), (11, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (7, 10), (7, 11), (7, 12), (7, 13), (7, 14), (8, 14), (9, 14), (9, 15), (9, 16), (9, 17), (8, 17), (8, 18), (8, 19), (7, 19), (6, 19), (5, 19), (6, 19), (6, 18), (7, 18), (8, 18), (9, 18), (9, 17), (9, 16), (10, 16), (10, 15), (10, 14), (11, 14), (11, 13), (11, 12), (11, 11), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11), (4, 11), (3, 11), (2, 11), (2, 10), (2, 11), (2, 12), (1, 12), (1, 13), (2, 13), (2, 12), (2, 11), (2, 10), (2, 9), (2, 8), (1, 8), (0, 8), (1, 8), (1, 9), (1, 10), (1, 11), (0, 11)]"
8345,VI,0.021821188926696777,11,True,"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (3, 4), (3, 5), (4, 5), (5, 5)]",Goal Reached,,
8345,VIN,0.0077227592468261715,11,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (3, 4), (3, 5), (4, 5), (5, 5)]",
8345,PUCT,0.43462698459625243,11,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (3, 4), (3, 5), (4, 5), (5, 5)]"
12375,VI,0.021225762367248536,11,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (7, 1), (7, 2), (6, 2)]",Goal Reached,,
