seed,algorithm,mean_inference_time,total_steps,successful,path,stop_reason,path_vin,path_replan
13400,VI,0.022135604687822545,124,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (12, 1), (12, 2), (13, 2), (14, 2), (15, 2), (15, 3), (15, 4), (15, 5), (14, 5), (13, 5), (12, 5), (12, 4), (12, 5), (12, 6), (13, 6), (14, 6), (15, 6), (16, 6), (16, 5), (16, 4), (16, 3), (16, 2), (17, 2), (17, 1), (16, 1), (16, 0), (15, 0), (14, 0), (13, 0), (13, 1), (13, 2), (13, 3), (13, 4), (14, 4), (15, 4), (16, 4), (17, 4), (18, 4), (18, 5), (17, 5), (17, 4), (17, 3), (18, 3), (18, 2), (18, 1), (18, 0), (17, 0), (17, 1), (16, 1), (15, 1), (14, 1), (14, 2), (14, 3), (13, 3), (12, 3), (12, 4), (12, 5), (12, 6), (12, 7), (11, 7), (11, 8), (11, 9), (11, 10), (10, 10), (9, 10), (8, 10), (8, 11), (7, 11), (6, 11), (5, 11), (5, 12), (5, 13), (5, 14), (5, 15), (6, 15), (7, 15), (7, 16), (7, 17), (7, 18), (8, 18), (9, 18), (10, 18), (10, 19), (9, 19), (8, 19), (7, 19), (6, 19), (6, 18), (5, 18), (5, 17), (4, 17), (3, 17), (3, 16), (3, 15), (3, 14), (2, 14), (2, 13), (2, 12), (2, 11), (3, 11), (3, 10), (4, 10), (4, 11), (4, 12), (4, 13), (5, 13), (6, 13), (7, 13), (7, 14), (7, 13), (7, 12)]",Goal Reached,,
13400,VIN,0.007765219623881175,134,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (14, 1), (14, 2), (15, 2), (15, 3), (15, 4), (15, 5), (14, 5), (13, 5), (13, 6), (12, 6), (12, 5), (12, 4), (12, 3), (13, 3), (13, 2), (13, 1), (14, 1), (15, 1), (16, 1), (16, 2), (17, 2), (18, 2), (18, 3), (18, 4), (18, 5), (17, 5), (16, 5), (16, 6), (15, 6), (14, 6), (14, 5), (14, 4), (13, 4), (13, 3), (12, 3), (12, 2), (12, 1), (13, 1), (14, 1), (15, 1), (15, 0), (16, 0), (17, 0), (18, 0), (18, 1), (17, 1), (17, 2), (17, 3), (16, 3), (16, 4), (17, 4), (17, 5), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (10, 6), (9, 6), (9, 7), (9, 8), (9, 9), (9, 10), (8, 10), (8, 11), (7, 11), (6, 11), (6, 12), (5, 12), (5, 11), (5, 12), (5, 13), (5, 14), (5, 15), (6, 15), (7, 15), (7, 16), (7, 17), (7, 18), (8, 18), (9, 18), (10, 18), (10, 19), (9, 19), (8, 19), (7, 19), (6, 19), (5, 19), (5, 18), (5, 17), (5, 18), (6, 18), (5, 18), (4, 18), (3, 18), (3, 17), (3, 16), (3, 15), (3, 14), (4, 14), (4, 13), (4, 12), (4, 11), (4, 10), (3, 10), (3, 11), (2, 11), (2, 12), (2, 13), (2, 14), (3, 14), (3, 13), (4, 13), (5, 13), (6, 13), (7, 13), (7, 12)]",
13400,VIN_REPLAN,0.007007381718629485,157,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (14, 1), (14, 2), (15, 2), (15, 3), (15, 4), (15, 5), (14, 5), (13, 5), (13, 6), (12, 6), (12, 5), (12, 4), (12, 3), (13, 3), (13, 2), (13, 1), (14, 1), (15, 1), (16, 1), (16, 2), (17, 2), (18, 2), (18, 3), (18, 4), (18, 5), (17, 5), (16, 5), (16, 6), (15, 6), (14, 6), (14, 5), (14, 4), (13, 4), (13, 3), (12, 3), (12, 2), (12, 1), (13, 1), (14, 1), (15, 1), (15, 0), (16, 0), (17, 0), (18, 0), (18, 1), (17, 1), (17, 2), (17, 3), (16, 3), (16, 4), (17, 4), (17, 5), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (10, 6), (9, 6), (9, 7), (9, 8), (9, 9), (9, 10), (8, 10), (8, 11), (7, 11), (6, 11), (6, 12), (5, 12), (5, 11), (5, 12), (5, 13), (5, 14), (5, 15), (6, 15), (7, 15), (7, 16), (7, 17), (7, 18), (8, 18), (9, 18), (10, 18), (10, 19), (9, 19), (8, 19), (7, 19), (6, 19), (5, 19), (5, 18), (6, 18), (5, 18), (5, 17), (5, 16), (5, 16), (5, 15), (4, 15), (3, 15), (3, 16), (3, 15), (3, 14), (4, 14), (4, 13), (4, 12), (4, 11), (4, 10), (3, 10), (3, 11), (2, 11), (2, 12), (2, 13), (2, 14), (2, 15), (3, 15), (4, 15), (4, 15), (3, 15), (3, 16), (3, 17), (4, 17), (4, 18), (5, 18), (6, 18), (7, 18), (8, 18), (8, 18), (7, 18), (7, 17), (7, 16), (8, 16), (8, 16), (7, 16), (7, 15), (7, 14), (8, 14), (7, 14), (7, 13), (7, 13), (7, 12), (8, 12), (7, 12)]"
6161,VI,0.02153509959839938,58,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0), (16, 0), (16, 1), (17, 1), (17, 2), (16, 2), (17, 2), (17, 3), (17, 4), (17, 5), (17, 6), (16, 6), (16, 7), (16, 8), (16, 9), (16, 10), (17, 10), (18, 10), (18, 11), (19, 11), (19, 12), (18, 12), (18, 13), (18, 14), (18, 15), (18, 16), (17, 16), (16, 16), (15, 16), (14, 16), (13, 16), (12, 16), (11, 16), (10, 16), (10, 17), (9, 17), (8, 17), (7, 17), (6, 17), (5, 17), (4, 17)]",Goal Reached,,
6161,VIN,0.0073857056467156665,58,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (6, 1), (7, 1), (8, 1), (9, 1), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0), (16, 0), (16, 1), (17, 1), (17, 2), (16, 2), (16, 3), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (16, 11), (17, 11), (18, 11), (19, 11), (19, 12), (18, 12), (17, 12), (16, 12), (15, 12), (14, 12), (14, 13), (14, 14), (13, 14), (13, 15), (13, 16), (12, 16), (11, 16), (10, 16), (9, 16), (8, 16), (7, 16), (7, 17), (6, 17), (5, 17), (4, 17)]",
6161,VIN_REPLAN,0.006695412820385349,62,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (6, 0), (6, 1), (7, 1), (8, 1), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0), (16, 0), (16, 1), (17, 1), (17, 2), (16, 2), (16, 3), (16, 4), (16, 4), (15, 4), (15, 5), (15, 6), (16, 6), (16, 7), (16, 8), (16, 9), (16, 10), (16, 11), (17, 11), (18, 11), (19, 11), (19, 12), (18, 12), (17, 12), (16, 12), (15, 12), (14, 12), (13, 12), (13, 13), (13, 13), (13, 14), (13, 15), (13, 16), (12, 16), (11, 16), (10, 16), (9, 16), (8, 16), (7, 16), (7, 16), (7, 17), (6, 17), (5, 17), (4, 17)]"
6610,VI,0.013245884577433269,46,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (9, 6), (10, 6), (11, 6), (12, 6), (13, 6), (13, 7), (13, 8), (14, 8), (15, 8), (16, 8), (17, 8), (17, 7), (17, 6), (16, 6), (15, 6), (15, 5), (16, 5), (16, 6), (16, 7), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (14, 11), (13, 11), (13, 10), (14, 10), (15, 10), (16, 10), (17, 10)]",Goal Reached,,
6610,VIN,0.007345889477019614,48,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (9, 6), (10, 6), (11, 6), (12, 6), (13, 6), (13, 7), (13, 8), (14, 8), (15, 8), (16, 8), (17, 8), (17, 7), (17, 6), (16, 6), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (16, 11), (17, 11), (17, 12), (16, 12), (16, 11), (15, 11), (14, 11), (13, 11), (13, 10), (14, 10), (15, 10), (16, 10), (17, 10)]",
6610,VIN_REPLAN,0.005659552911917369,96,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (7, 0), (6, 0), (5, 0), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (9, 6), (10, 6), (11, 6), (12, 6), (13, 6), (13, 7), (13, 8), (14, 8), (15, 8), (16, 8), (17, 8), (17, 7), (17, 6), (16, 6), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (16, 11), (17, 11), (17, 12), (17, 13), (17, 14), (16, 14), (16, 15), (16, 16), (16, 17), (16, 18), (16, 19), (15, 19), (14, 19), (13, 19), (13, 18), (12, 18), (11, 18), (11, 19), (10, 19), (9, 19), (9, 18), (10, 18), (10, 17), (10, 16), (10, 15), (10, 14), (10, 13), (10, 13), (10, 12), (9, 12), (8, 12), (7, 12), (7, 11), (7, 10), (7, 9), (7, 8), (7, 7), (7, 6), (8, 6), (9, 6), (10, 6), (11, 6), (12, 6), (13, 6), (13, 7), (13, 8), (13, 9), (13, 10), (13, 11), (14, 11), (14, 10), (15, 10), (16, 10), (17, 10)]"
10551,VI,0.02496068617876838,52,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (10, 5), (10, 6), (11, 6), (12, 6), (13, 6), (13, 7), (13, 8), (12, 8), (11, 8), (11, 9), (12, 9), (12, 8), (12, 7), (11, 7), (10, 7), (9, 7), (9, 8), (8, 8), (7, 8), (7, 9), (7, 10), (7, 11), (7, 12), (7, 13), (7, 14), (7, 15), (7, 16), (7, 17), (7, 18), (7, 19), (8, 19), (9, 19), (10, 19), (10, 18), (10, 17), (9, 17), (9, 18)]",Goal Reached,,
